listing_title,city,area,location,zone,pg_name,shearing,best_suit_for,meals_avilable,notic_period,lock_in_period,amenities_count,comman_area,property_manager_stays,in_time_at_night,non_veg_allowed,opposite_gender_allowed,visitors_allowed,gurdian_allowed,drinking_allowed,smoking_allowed,security_deposite,rent_price
boys pg for rent,nagpur,shubhash nagar,"shubhash nagar, nagpur",south,pg now,private,,yes,30 days,30 days,"water purifier, microwave, fridge, wahsing machine, regular water, wifi, laundry, daily cleaning, security, CCTV, AC, independent cupboard, table chair, attached bathroom , parking(15)","living room, kitchen, dining hall, study room, breakout room",yes,8:00 PM,yes,no,yes,yes,no,no,13000,13000
boys pg for rent,nagpur,zingabai takli,"zingabai takli, nagpur",north,samarth boys hostel,double,,yes,30 days,5 days,"independent cupboard, tabel chair, TV, balcony, water purifier, fridge, washing machine, regular water, wifi, daily cleaning, gym, lift, security, CCTV, parking (16)","living room, dining hall, study room",no,10:00 PM,yes,no,yes,yes,no,no,6000,6000
boys pg for rent,nagpur,jaitala,"jaitala, nagpur",south,stay n study boys pg hostel,triple,,yes,30 days,30 days,"independent cupboard, tabel chair, water purifier, fridge, washing machine, wifi, laundry, daily cleaning, security, CCTV, gated community, parking (12)","dining hall , study room, breakout room",no,,yes,no,yes,yes,no,no,3000,3000
boys pg for rent,nagpur,shubhash nagar,"shubhash nagar, nagpur",south,pg now,triple,,yes,30 days,30 days,"water purifier, microwave, fridge, wahsing machine, regular water, wifi, laundry, daily cleaning, security, CCTV, AC, independent cupboard, table chair, attached bathroom , parking(15)",,no,8:00 PM,yes,no,yes,yes,no,no,3000,3000
boys pg for rent,nagpur,shubhash nagar,"shubhash nagar, nagpur",south,pg now,double,,yes,30 days,30 days,"water purifier, microwave, fridge, wahsing machine, regular water, wifi, laundry, daily cleaning, security, CCTV, AC, independent cupboard, table chair, attached bathroom , parking(15)","living room, kitchen, dining hall, study room, breakout room",no,8:00 PM,yes,no,yes,yes,no,no,7000,7000
boys pg for rent,nagpur,manewada,"manewada, nagpur",south,nikhare's residence,triple,,no,30 days,6 months,"tabel chair, balcony, washing machine, regular water, wifi, parking (6)",,yes,0,yes,no,yes,yes,no,no,6000,3000
boys pg for rent,nagpur,hanuman nagar,"hanuman nagar, nagpur",,gurukrupa boys hostel,private,,no,30 days,30 days,"independent cupboard, tabel chair, balcony, regular water, parking (5)",breakout room,yes,11:00 PM,yes,no,yes,yes,no,no,4000,4000
boys pg for rent,nagpur,manish nagar,"orchid crown, manish nagar, nagpur",south,ayachit,double,working professionals,no,30 days,30 days,"independent cupboard, tabel chair, water purifier, fridge, regular water, laundry, daily cleaning, tea coffee vending, gym , lift, security, CCTV, gated cummunity (13)",,yes,,no,no,yes,yes,no,no,4500,4500
boys pg for rent,nagpur,mankapur,"jafar nagar , mankapur, nagpur",north,beds and boys hostel,triple,students and working professionals,no,15 days,30 days,"tabel chair, regular water, wifi, daily cleaning, CCTV (5)",breakout room,no,,yes,no,yes,yes,no,no,500,2700
boys pg for rent,nagpur,mankapur,"jafar nagar , mankapur, nagpur",north,beds and boys hostel,double,students and working professionals,no,15 days,30 days,"tabel chair, regular water, wifi, daily cleaning, CCTV (5)",breakout room,yes,,yes,no,yes,yes,no,no,1000,3000
girls pg for rent,nagpur,manish nagar,"manish nagar, nagpur",south,manisha's girls pg,double,,yes,30 days,3 months,"independent cupboard, table chair, water purifier, fridge, washing machine, regular water, wifi, daily cleaning, CCTV, gated community (10)",kitchen,yes,10:30 PM,yes,no,no,yes,no,no,6500,5500
